Name,Stage,Category,Attribute,Type,Author,Description,Alternative,Evolve To,Hide,Gallery
GaruruGreymon,Perfect,Alt Original,Vaccine,Paladin,Aderek,"GaruruGreymon is a Paladin Digimon that wears the skins of the greatest beasts, Hard Armor and Legendary Wolf. Combining brute strength and dexterity, this warrior is a perfect fusion of power and agility.",,,,
Monzaemon,Perfect,Alt Version,Vaccine,Puppet,Aderek,"A charming animatronic teddy bear! Perfect and mysterious, this Digimon looks like a harmless toy, but it hides surprising secrets. With big eyes and a smiling expression, Monzaemon may look adorable, but it is believed that something or someone may be hidden inside him.",,,,
ChoHakkaimon,Perfect,Alt Version,Data,Puppet,Aderek,"A female Digimon in a pig costume, originating from an agricultural management program responsible for abundance and harvests. After an error that overloaded the servers where she was, she was considered a threat by the defense system and exiled.",,,,
WereGarurumon,Perfect,Alt Version,Vaccine,Beast Man,Aderek,"WereGarurumon is a Beast Man Digimon that evolved from Garurumon, acquiring the ability to walk on two legs. Although his speed has decreased upon becoming bipedal, he has gained much stronger offensive and defensive power, as well as developing a tactical nature.",,,,
IceDevimon,Champion,Alt Version,Virus,Fallen Angel,Emiluna,"A variant of Devimon that evolved to adapt to extremely cold climates. Their body structure and abilities have adapted to thrive in frigid environments, where their camouflage abilities and cold resistance are vital to survival. With wings covered in ice and a heart hardened by the coldness of its habitat, IceDevimon uses its manipulation skills and intimidating appearance to deceive and freeze its opponents, becoming an effective predator in its icy territory.",,,,
Elecmon,Rookie,Alt Version,Data,Mammal,Aderek," It's very curious and lively, and inherited its prank-loving personality from Tsunomon. Also, Elecmon possesses nine tails, and during battle, it fans out its tail like the plumage of a peacock to intimidate its opponent.",Elecmon (Purple),Leomon,,Elecmon-DSandy.jpg [Art by:D Sandy url= https://x.com/DSandy586/status/1791870756483211333]
Leomon,Champion,Alt Version,Vaccine,Beast Man,Thais Inoue,"Known as the ""King of Beasts"" and the ""Noble Hero"". Unlike many Digimon who are often wild, Leomon is driven by a strong sense of purpose and justice. He is renowned for his bravery and honor, having defeated numerous fiendish Digimon",,,,
Weatherdramon,Perfect,Alt Version,Vaccine,Weather Deity,Aderek,"A Digimon with command over climatic conditions, is revered for its unmatched power to freely manipulate the weather.  Known for its formidable aerial prowess and the ability to conjure storms with its roar.",,,,
MailBirdramon,Champion,Alt Version,Data,Jet Fighter,Aderek,"Raptor-type Flying Digimon, excels in airborne reconnaissance, monitoring the status of battle from high altitudes. It specializes in air support strikes, employing hit-and-run tactics to deliver precise and calculated damage to its foes. ",,NuMetalGreymon[Jogressed with Greymon (Blue)],,
Greymon (Blue),Champion,Alt Version,Virus,Dinosaur,Emiluna,"A Virus attribute Greymon with a bluish-black body. A Digimon specializing in offensive power, its combat instinct is extremely high, and its cruel, brutal nature is such that it will not stop battling until it annihilates the opponent, so ordinary Digimon cannot even approach it as they are repelled by the abnormal fighting spirit it exerts on its surroundings.",Greymon,NuMetalGreymon[Jogressed with Mailbirdramon],True,
NuMetalGreymon,Perfect,Alt Version,Virus,Cyborg,Aderek,"The ""Tactical-enhancement Mode"", which possesses Mail Birdramon's armor on top of Greymon's power, is a form that was strengthened without hindering the fighting strength of Greymon, who specialized in close-combat fighting.",MetalGreymon,,True,
Bishamon,Champion,Alt Original,Virus,Obsessive Spirit,"Aderek, BarillRojas","A spectral Digimon whose story is wrapped in mystery and sorrow. Originally misreported as a victim of self-inflicted harm, the truth about her demise is much more sinister. This Digimon represents the restless spirit of a young girl who was unjustly defamed online, leading to a misinterpretation of her tragic death by drowning. Her spectral form, tinged with the blue of the deep waters, searches for justice, aiming to correct the false narratives that cloud her legacy. Bishamon's chilling aura and ghostly powers manifest her unresolved anguish and her unyielding desire for vindication.",Meramon,,,
Pink Agumon,Rookie,Alt Version,Data,Mammal,Aderek,"A small mammal that is very similar to a certain Reptile-Digimon, it is an extremely rare digimon that evolved in certain specific environments, as well as ModokiBetamon, it is not directly related to its similar species",Agumon,Tuchidarumon,,
Scorpmon,Champion,Alt Original,Virus,Scorpion,Aderek,"A Digimon that initially emerged in the arid terrains of a Brazilian server. Known for its exceptional adaptability, Scorpmon has quickly spread across the web, thriving in various environments. Its menacing appearance, highlighted by robust armor and a formidable stinger, belies a surprisingly strategic mind, making it a formidable opponent in battles. Its presence is often seen as an omen of upcoming strife in data-rich territories where it hunts and multiplies, leveraging its adaptability to survive and dominate in the ever-changing landscape.",,,,
Gizamon,Rookie,Alt Version,Data,Proto Whale,Aderek,"A Digimon that resembles ancient aquatic creatures, exhibiting traits akin to those of prehistoric whales (specifically Maiacetus). Adapted to life both near and in water bodies such as riverbanks and coastal regions, Gizamon has developed a cunning hunting strategy. It patiently lies in wait, partially submerged, ready to pounce on unsuspecting prey that ventures too close to the water's edge. Its sharp teeth and strong jaws make it exceptionally effective at capturing and holding onto its targets, making it a fearsome predator in its habitat.",,"Dolphimon, Tuskmon, Cyclomon",,
Gazimon,Rookie,Alt Version,Virus,Mutt Dog,Thais Inoue,"Known for its deep-seated aversion to humans. This rugged creature is notoriously difficult to tame due to its aggressive nature and sharp instincts for survival. Often seen as a loner, it relies on its fierce demeanor and lethal claws to fend off threats. ",,Tuskmon,,
Vermilimon,Perfect,Alt Version,Data,Protoceratops,Aderek,"Vermilimon, a alpha Monochromon, sports a red hue due to its heightened aggression and hormonal surges. Originally gray, its appearance shifts to red as its blood boils with rage. It's said to radiate intense heat, and the more anger it feels, the redder it becomes.",,,,
Brachiomon,Champion,Alt Version,Data,Brachiosaur,Aderek,"Known colloquially as ""Long Necks,"" these Digimon thrive in expansive landscapes referred to as Great Valleys, where they congregate in herds. They exhibit a preference for the lush foliage of the Tree Start, feeding on its leaves which are essential for their sustenance.",,,,
Kuramon,Baby,Alt Version,Unknown,Unidentified,"Aderek, Jonatas Carmona",A small Digimon born from a Digitama that got corrupted by an unknown external interference. Hackers often use Kuramon to infect systems as an undercover agent of corruption.,,Tsumemon,,
Tsumemon,In-training,Alt Version,Unknown,Unidentified,"Aderek, Jonatas Carmona","When the unknown data hidden inside Kuramon starts to manifest, it evolves into Tsumemon and develops tentacles which help it navigate and grab pieces of data it uses to feed itself.",,Keramon,,
Keramon,Rookie,Alt Version,Unknown,Unidentified,"Aderek, Jonatas Carmona","A Digimon born from an unknown type of computer virus that closely resembles a bacteriophage. It is said that Keramon will devour every piece of data it finds around it, infecting entire systems with the viral energy contained in its core, multiplying infinitely as it takes them over and aims to evolve even further.",,,,
Unimon,Champion,Alt Version,Vaccine,Mythical Beast,Aderek,"A Digimon with a unicorn horn and Pegasus wings. With giant wings, he travels quickly through the Computer Network, attacking enemies with his sharp horn. Almost indomitable, with wild behavior, but allows itself to be tamed if its respect is earned",,,,
Cockatrimon,Champion,Alt Version,Data,Terror Bird,Aderek,"A Terror Bird Digimon with two overdeveloped legs. Because it has continued to live on the ground for so long, it cannot fly through the air, and has evolved a body that is suited for land.",,,,
Terriermon,Rookie,Alt Version,Vaccine,Beast,Shewdon Barcelos,"With one horn growing from its head, it is a Digimon shrouded in mystery. It can be classified as a Beast Digimon from its body structure, but it's still not understood what kind of evolved form it will take on.
",,,,
Wormmon,Rookie,Alt Version,Vaccine,Larva,Aderek,"Exhibits a timid and reserved nature. Despite its vibrant appearance, it often hides in the shadows, wary of the bustling world around it. This larval Digimon uses its small size and agility to navigate away from threats, emphasizing caution over confrontation. ",,,,
WaruMonzaemon,Perfect,Alt Version,Virus,Puppet,Emiluna,"Similar to Monzaemon, its true form is unclear, but the peeking out of its strange, shining eyes from within is eerie. Its personality is the epitome of wickedness, and it is malicious and treacherous.",Monzaemon,,,
Lopmon,Rookie,Alt Version,Data,Beast,Emiluna,"An extremely precious twin Digimon Child. The gem on his chest absorbs darkness and purifies it, but if it absorbs too much dark energy, the gem goes out of control and causes a dark evolution in its wearer.",Terriermon,,,
